id,work_id,auditor_id,prev_status,new_status,reason,created_at
1,1,6,0,1,Manual update via console,2026-03-03 11:03:34.694000+00:00
2,1,6,1,2,Manual update via console,2026-03-03 11:07:28.699000+00:00
3,1,6,2,1,Manual update via console,2026-03-03 13:36:00.994000+00:00
4,10,6,0,1,Manual update via console,2026-03-03 13:37:03.735000+00:00
6,1,6,1,0,Manual update via console,2026-03-04 01:50:45.463000+00:00
7,1,6,0,1,Manual update via console,2026-03-04 02:24:23.086000+00:00
8,10,1,1,1,Manual update via console,2026-03-04 04:08:30.290000+00:00
9,10,1,1,0,Manual update via console,2026-03-04 04:08:48.857000+00:00
10,4,,0,1,Auto approved by system via tags: Hackathon 2026,2026-03-04 07:19:01.098000+00:00
11,3,1,0,1,Manual update via console,2026-03-05 06:15:14.969000+00:00
12,15,6,0,1,Manual update via console,2026-03-26 08:14:33.564000+00:00
13,16,5,0,1,通过,2026-03-26 09:23:26.265000+00:00
14,14,5,0,1,已通过,2026-03-26 09:23:59.318000+00:00
