work_id,audit_status,display_status,view_count,like_count,last_audit_at
2,1,1,115,103,2026-03-03 08:44:50.173000+00:00
23,0,0,1,0,
18,0,0,0,0,
19,0,0,0,0,
20,0,0,0,0,
10,0,0,100,100,2026-03-04 04:08:48.468000+00:00
22,0,0,0,0,
21,0,0,0,0,
1,1,1,112,103,2026-03-04 02:24:22.727000+00:00
17,0,0,0,0,
14,1,1,17,2,2026-03-26 09:23:58.396000+00:00
3,1,1,60,4,2026-03-05 06:15:14.632000+00:00
16,1,1,45,3,2026-03-26 09:23:25.324000+00:00
4,1,1,42,3,2026-03-04 07:19:01.097000+00:00
15,1,1,37,3,2026-03-26 08:14:33.127000+00:00
