id,work_id,image_url,image_type,sort_order,created_at
8,10,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-03/6c881ad9-efc0-41a1-a36c-17d1e056e19f.png,screenshot,0,2026-03-03 07:46:14.064000+00:00
2,4,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-04/c5f21f3e-ab2e-418a-b63b-cfc023db0621.png,screenshot,0,2026-03-04 07:19:01.098000+00:00
6,1,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-04/b3f30cf4-9245-4ee4-b917-c9483ac20d2b.png,screenshot,0,2026-03-04 09:00:11.623000+00:00
15,3,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-04/51aed6f6-6880-4e4f-b104-4b372d6baee5.jpg,screenshot,0,2026-03-24 07:03:17.237000+00:00
16,3,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-24/3301bf8c-ab85-4415-b878-f8ab7cf5bdda.png,screenshot,1,2026-03-24 07:03:17.237000+00:00
17,14,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/da513507-fe56-47f1-8121-f51bccf70af9.png,screenshot,0,2026-03-25 13:22:38.896000+00:00
18,14,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/a5946553-13c1-4150-9abd-110cf8b558ee.png,screenshot,1,2026-03-25 13:22:38.896000+00:00
27,16,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/f2a40544-32b7-4e02-a1ff-a29f34739df2.png,screenshot,0,2026-03-25 13:38:36.198000+00:00
28,16,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/b10e7110-ceac-4819-88b9-278255a9ddc7.png,screenshot,1,2026-03-25 13:38:36.198000+00:00
29,16,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/24c39606-5762-45d8-812e-a2ef61702798.png,screenshot,2,2026-03-25 13:38:36.198000+00:00
30,16,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/43206a6b-f47c-4140-82c6-af395d128072.png,screenshot,3,2026-03-25 13:38:36.198000+00:00
31,16,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/76ec9e66-7401-4e61-8d4f-6f654dacb087.png,screenshot,4,2026-03-25 13:38:36.198000+00:00
32,17,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/f6d8d069-7c19-4bcd-8305-5b0e8787d18f.jpg,screenshot,0,2026-03-26 09:22:18.505000+00:00
33,18,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/e8496e50-e356-43c5-a581-22b861e8b506.jpg,screenshot,0,2026-03-26 11:16:25.874000+00:00
34,19,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/bc7da24c-676f-4b4d-be23-7be9abbcad7c.jpg,screenshot,0,2026-03-26 11:21:03.527000+00:00
35,20,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/bc7da24c-676f-4b4d-be23-7be9abbcad7c.jpg,screenshot,0,2026-03-26 11:21:20.961000+00:00
36,15,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/7e7d9e6c-8315-4daf-8027-881f1117b308.png,screenshot,0,2026-03-26 11:37:25.615000+00:00
37,15,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/54aa1810-16ef-473a-a8d0-fddc8db9c844.png,screenshot,1,2026-03-26 11:37:25.615000+00:00
38,15,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/c8dfb25c-b2df-4238-b27f-598758ee27ec.png,screenshot,2,2026-03-26 11:37:25.615000+00:00
39,15,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-25/9291869a-0753-41fe-9ab3-539136a7434e.png,screenshot,3,2026-03-26 11:37:25.615000+00:00
40,21,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/7b2352bc-66b6-42f1-896c-2cd169af47e4.png,screenshot,0,2026-03-26 12:03:06.275000+00:00
41,22,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-26/c23740d2-1d5d-4074-8094-b9f7596348dc.png,screenshot,0,2026-03-26 13:02:39.729000+00:00
42,23,https://panfhpazkfhuohnjjuiz.supabase.co/storage/v1/object/public/TRAE/uploads/2026-03-27/ac7735b4-d5be-4ec5-9b19-e4cca4e77d81.jpg,screenshot,0,2026-03-27 01:13:54.372000+00:00
